a,b,c,w,r1,r2,V0,dcj,pcj,vcj,edet,e1,e2,e3,e4,e5,e6,e7,t0.1,t0.15,t0.25,t0.35,t0.5,t0.75,t1,t1.5,t2,t2.5,t3.5,t4.5
734.1044,12.9283,1.49669,0.472218,4.307308,1.279453,0.544662,8.880121,39.240642,0.397070,5.291230,0.783525,3.604057,4.144948,4.361224,4.474732,4.547950,4.601796,0.761991,0.766796,1.071279,1.262600,1.468685,1.755633,1.962042,2.220687,2.376746,2.496808,2.638502,2.710246
859.2035,21.6913,1.559802,0.371494,4.634035,1.533315,0.544662,8.827919,37.655892,0.401270,5.675160,0.744221,3.539017,4.077075,4.292027,4.413839,4.499034,4.565061,0.737237,0.742197,1.040748,1.224136,1.426482,1.709242,1.916220,2.181493,2.342338,2.465538,2.611296,2.684173
1111.3035,103.7719,2.370302,0.556702,5.694638,2.471167,0.544662,8.793685,37.962280,0.399023,5.374109,0.765143,3.633038,4.102274,4.301078,4.427359,4.518818,4.589161,0.735513,0.740517,1.045388,1.228153,1.438719,1.732273,1.948418,2.223019,2.381817,2.499232,2.629270,2.693002
679.9787,32.5831,2.365793,0.527866,4.4624,1.859785,0.544662,8.800481,40.249561,0.390527,5.707214,0.823015,3.771746,4.304204,4.527319,4.662540,4.759051,4.833253,0.769095,0.774002,1.088852,1.279896,1.497567,1.796369,2.011540,2.279872,2.438138,2.557610,2.693469,2.761915
706.098,19.1734,1.203114,0.32027,4.319269,1.420299,0.544662,8.847001,39.472724,0.395020,5.821702,0.813849,3.737872,4.278585,4.484141,4.593680,4.667584,4.724218,0.773441,0.778330,1.089660,1.283768,1.495639,1.789294,2.001005,2.266442,2.425674,2.546947,2.685906,2.753574
829.4263,23.2659,2.278489,0.649719,4.697219,1.578699,0.544662,8.762646,38.185774,0.397168,5.197358,0.754620,3.630438,4.191345,4.406804,4.523066,4.600435,4.657754,0.732428,0.737376,1.039137,1.220114,1.427627,1.716898,1.929480,2.203602,2.369400,2.495655,2.645092,2.718727
911.463,45.6147,2.68972,0.627268,4.968982,2.112875,0.544662,8.807300,38.111924,0.398926,5.188398,0.737008,3.499717,3.995130,4.207010,4.337075,4.429309,4.499300,0.726640,0.731470,1.028669,1.209333,1.412042,1.698168,1.907308,2.173365,2.330863,2.449671,2.587401,2.656900
1364.054,91.142,2.32088,0.546336,5.861602,2.370101,0.544662,8.838890,37.145136,0.403613,5.368843,0.736513,3.600453,4.082180,4.282336,4.408304,4.499492,4.569720,0.723560,0.728597,1.028100,1.208309,1.414092,1.704045,1.919815,2.198627,2.362007,2.482812,2.618621,2.684436
1564.8575,81.2776,2.164038,0.59035,5.971076,2.263706,0.544662,8.863852,36.544230,0.406738,5.110780,0.716897,3.572399,4.045010,4.227738,4.338492,4.417488,4.477813,0.714445,0.719426,1.014210,1.193292,1.395268,1.682827,1.898352,2.179888,2.346020,2.468313,2.605411,2.669316
861.9895,36.0937,2.436132,0.64519,4.810684,1.884579,0.544662,8.861746,39.052321,0.397168,5.204561,0.768908,3.642444,4.155659,4.358200,4.475650,4.557164,4.618550,0.745900,0.750643,1.053175,1.240838,1.447810,1.740104,1.953145,2.223656,2.384264,2.505486,2.643764,2.710940
1016.2467,58.3518,1.973891,0.524767,5.20988,2.027077,0.544662,8.882544,38.663390,0.399316,5.479208,0.784948,3.780000,4.292277,4.484700,4.598172,4.679042,4.741286,0.752395,0.757215,1.063500,1.254264,1.465560,1.763096,1.982453,2.263755,2.429716,2.553350,2.689997,2.753581
854.0738,36.1907,2.331515,0.49755,4.819171,1.87029,0.544662,8.791475,38.370452,0.397363,5.721762,0.766272,3.657459,4.205627,4.435339,4.574922,4.675072,4.752458,0.740421,0.745377,1.049427,1.233217,1.442445,1.733436,1.946931,2.220520,2.384344,2.508517,2.653489,2.726610
778.0807,16.6019,1.994946,0.653558,4.453025,1.439504,0.544662,8.904580,39.484079,0.396973,5.035201,0.775541,3.612433,4.140518,4.343484,4.449793,4.518612,4.568864,0.756551,0.761218,1.063348,1.254709,1.460010,1.749032,1.957606,2.220162,2.377872,2.498539,2.638907,2.707887
1104.3386,67.6027,1.434795,0.352071,5.393076,2.043127,0.544662,8.859866,38.001843,0.401074,5.849180,0.786261,3.805059,4.302250,4.481648,4.589017,4.667898,4.730370,0.750976,0.756018,1.064693,1.253401,1.466271,1.764178,1.985121,2.269675,2.436792,2.560359,2.694312,2.754773
641.5606,21.3814,2.054126,0.564492,4.250333,1.724962,0.544662,8.787804,39.964206,0.391113,5.162826,0.805606,3.591578,4.058377,4.249788,4.362638,4.441774,4.502025,0.764865,0.769703,1.079746,1.269702,1.482408,1.773412,1.980717,2.234795,2.383471,2.495365,2.620900,2.683318
1004.3305,58.1974,2.098809,0.475223,5.153488,2.120685,0.544662,8.870569,38.142228,0.400879,5.569936,0.758127,3.620937,4.116990,4.322070,4.450035,4.543278,4.615834,0.741177,0.746012,1.046818,1.233583,1.439425,1.729393,1.942405,2.214398,2.375129,2.495618,2.631533,2.697900
832.6874,47.0434,2.823104,0.620155,4.91424,2.067888,0.544662,8.773358,38.967374,0.394531,5.499270,0.775458,3.683038,4.219697,4.446600,4.585000,4.683052,4.757506,0.740263,0.745212,1.052013,1.234757,1.446452,1.741815,1.957796,2.232744,2.395309,2.517721,2.659304,2.730832
1020.8192,106.1306,2.317877,0.606362,5.581095,2.485164,0.544662,8.811500,38.537855,0.397461,5.173788,0.778498,3.643349,4.090841,4.274372,4.389080,4.471284,4.533979,0.743719,0.748630,1.055084,1.240850,1.452346,1.747499,1.963349,2.234758,2.390529,2.505383,2.629950,2.689630
678.0209,77.6793,2.807459,0.592119,4.881172,2.368129,0.544662,8.719909,40.170567,0.387891,5.656326,0.826535,3.782147,4.294147,4.518527,4.660429,4.762446,4.840432,0.761080,0.765975,1.082523,1.270626,1.491517,1.795037,2.014118,2.286297,2.443470,2.560522,2.691753,2.759082
1302.7368,93.917,2.230687,0.465295,5.768352,2.428016,0.544662,8.835853,36.915559,0.404395,5.581170,0.727172,3.524694,4.000548,4.209953,4.346219,4.446757,4.525282,0.721018,0.726108,1.023825,1.202474,1.406096,1.691794,1.903759,2.176581,2.336662,2.455633,2.590631,2.657955
820.5844,19.0772,1.657478,0.432451,4.52272,1.407582,0.544662,8.942426,39.415740,0.398437,5.758116,0.790812,3.757442,4.351688,4.585390,4.710834,4.794639,4.857869,0.766346,0.771062,1.076389,1.271513,1.479094,1.772095,1.985289,2.257536,2.423519,2.551108,2.701764,2.776646
948.7641,19.0429,1.112385,0.342551,4.727602,1.362291,0.544662,8.840208,36.737669,0.405176,5.404241,0.718785,3.501547,4.062321,4.271432,4.376741,4.444679,4.495520,0.725550,0.730636,1.025139,1.204508,1.402284,1.680842,1.886525,2.154307,2.319424,2.446463,2.599906,2.675676
1122.909,107.8529,2.21668,0.478528,5.670367,2.513946,0.544662,8.824948,37.785290,0.400684,5.542814,0.756516,3.577614,4.038972,4.242179,4.374724,4.472384,4.548508,0.735630,0.740555,1.042365,1.226485,1.433888,1.724226,1.937577,2.207910,2.364457,2.480524,2.609458,2.673602
888.1403,31.6457,2.289791,0.555447,4.814992,1.789782,0.544662,8.836191,38.362271,0.398926,5.424091,0.756031,3.621091,4.159454,4.376997,4.504424,4.593919,4.662199,0.738753,0.743633,1.044752,1.229127,1.435136,1.724147,1.936051,2.207786,2.370981,2.494835,2.639268,2.710872
753.7039,17.9401,1.095203,0.271421,4.404473,1.390482,0.544662,8.801607,38.170852,0.398437,5.859244,0.772830,3.588937,4.119555,4.323674,4.432606,4.506209,4.562840,0.751594,0.756675,1.061884,1.247491,1.453901,1.739441,1.946675,2.208905,2.367053,2.488182,2.629707,2.699648
827.3085,37.7674,2.421494,0.601195,4.810131,1.899204,0.544662,8.775703,38.633284,0.395801,5.348639,0.770391,3.653572,4.178942,4.389879,4.514186,4.601424,4.667653,0.740623,0.745544,1.050461,1.234128,1.444266,1.736791,1.950843,2.223770,2.385889,2.508196,2.648781,2.718015
988.7112,38.2558,2.768805,0.645402,5.020179,2.018394,0.544662,8.833515,37.678605,0.401367,5.132254,0.715646,3.451489,3.958124,4.174003,4.304889,4.397059,4.466726,0.718105,0.723034,1.017240,1.194589,1.394073,1.676573,1.883996,2.150226,2.309472,2.429992,2.572097,2.644105
759.9861,18.6276,3.279101,0.653861,4.530168,1.764178,0.544662,8.817412,39.443093,0.394141,5.454991,0.753321,3.539506,4.094196,4.346635,4.500540,4.608410,4.689687,0.736078,0.740805,1.040988,1.223755,1.428037,1.717727,1.926813,2.190300,2.347802,2.468556,2.614771,2.693003
1902.4862,70.7085,2.409013,0.631323,6.27717,2.13834,0.544662,8.761325,35.294592,0.408301,5.204975,0.693989,3.612515,4.136778,4.335296,4.452183,4.534348,4.596575,0.691723,0.697124,0.992101,1.160516,1.364641,1.651596,1.870745,2.165062,2.342403,2.471701,2.622549,2.693668
701.6304,21.3702,1.703335,0.498669,4.33511,1.606912,0.544662,8.867345,39.877183,0.394238,5.273928,0.806307,3.650854,4.139647,4.330283,4.437784,4.512124,4.568832,0.770688,0.775454,1.084252,1.278230,1.488995,1.780553,1.989338,2.247777,2.400645,2.516209,2.646047,2.709134
1044.1249,43.282,1.652091,0.34608,5.076868,1.93125,0.544662,8.830393,36.788700,0.404687,5.790314,0.721769,3.483904,3.975383,4.175673,4.299880,4.391638,4.464391,0.723293,0.728379,1.023958,1.202875,1.403272,1.684051,1.891565,2.159376,2.319809,2.440843,2.580247,2.648375
781.7628,27.1921,1.984308,0.457614,4.600162,1.662621,0.544662,8.805183,38.880167,0.395898,5.769194,0.787858,3.719668,4.279783,4.505321,4.636228,4.728515,4.799704,0.753477,0.758419,1.066141,1.253799,1.465768,1.758705,1.972597,2.245321,2.409177,2.533889,2.678968,2.751208
654.444,12.6092,1.991017,0.629397,4.200823,1.385173,0.544662,8.805142,39.860989,0.392090,5.031322,0.796084,3.587892,4.090370,4.291846,4.400779,4.472261,4.524755,0.761942,0.766743,1.074536,1.264204,1.474767,1.764427,1.971219,2.226645,2.378086,2.493477,2.626861,2.693949
1217.0851,92.8466,2.103679,0.420179,5.639542,2.420101,0.544662,8.858417,37.252418,0.403809,5.738934,0.736298,3.534344,4.005557,4.214630,4.352127,4.454496,4.535062,0.728534,0.733571,1.032382,1.213742,1.417747,1.703962,1.915363,2.185795,2.344137,2.462030,2.594862,2.661200
587.2096,44.1806,2.617392,0.629634,4.365803,2.166021,0.544662,8.725753,40.681685,0.386133,5.295764,0.827378,3.674533,4.145185,4.347976,4.473656,4.562986,4.630786,0.766501,0.771441,1.088241,1.276048,1.495381,1.793981,2.006323,2.265123,2.414320,2.525527,2.649166,2.711963
948.263,66.4517,2.913842,0.63179,5.163994,2.389231,0.544662,8.792840,37.904213,0.399219,5.200692,0.727576,3.448851,3.934176,4.153348,4.291898,4.390856,4.466015,0.720353,0.725238,1.021445,1.199427,1.401233,1.686077,1.894254,2.158402,2.313718,2.430588,2.566644,2.637012
910.2528,98.4474,2.199662,0.508596,5.418605,2.401757,0.544662,8.759290,38.779538,0.394727,5.586592,0.803541,3.745906,4.222754,4.421220,4.547453,4.639590,4.711009,0.752198,0.757267,1.070298,1.256417,1.474355,1.773430,1.992256,2.267608,2.426100,2.543073,2.670605,2.732825
1233.27,113.4907,1.961007,0.554632,5.888851,2.461184,0.544662,8.839426,38.006461,0.400391,5.159308,0.774362,3.664430,4.096632,4.265330,4.370461,4.446423,4.504847,0.742553,0.747470,1.052867,1.239765,1.450753,1.746165,1.963719,2.239001,2.396475,2.511740,2.634255,2.690665
810.8401,84.7588,2.562409,0.605222,5.073033,2.45838,0.544662,8.795022,39.089763,0.394727,5.236730,0.778512,3.579902,4.038909,4.239215,4.366023,4.457060,4.526516,0.746134,0.750948,1.056323,1.242370,1.452229,1.744908,1.956631,2.220149,2.372333,2.485747,2.611848,2.675124
1087.4699,38.0604,1.713971,0.415961,5.105287,1.808706,0.544662,8.859439,36.950060,0.404980,5.550404,0.724407,3.556241,4.078881,4.281345,4.400013,4.485065,4.551403,0.725160,0.730203,1.026199,1.206556,1.407697,1.690944,1.901264,2.175283,2.341064,2.466279,2.611802,2.681941
811.8929,23.1605,1.482277,0.264086,4.542964,1.622191,0.544662,8.840582,38.049923,0.400195,6.385413,0.756888,3.525436,4.038189,4.253688,4.384492,4.480315,4.556664,0.745871,0.750863,1.052093,1.237274,1.440512,1.723624,1.929183,2.189045,2.345021,2.464166,2.603121,2.673474
1012.5483,24.6033,1.598209,0.462884,4.913198,1.511161,0.544662,8.829206,36.854981,0.404395,5.384897,0.722742,3.582670,4.158653,4.373946,4.487475,4.563343,4.620649,0.723074,0.728172,1.024300,1.203063,1.404536,1.687009,1.897207,2.173476,2.343753,2.473725,2.629827,2.706054
1049.1357,149.7947,2.700532,0.569301,5.949559,2.811238,0.544662,8.675870,37.338125,0.397461,5.323846,0.744702,3.477023,3.935214,4.149972,4.290324,4.392239,4.470512,0.718619,0.723743,1.025843,1.200783,1.409646,1.697623,1.908834,2.175086,2.327923,2.441286,2.570290,2.637762
1045.2643,39.0434,2.942446,0.596705,5.146139,1.944907,0.544662,8.831109,37.831120,0.400781,5.625320,0.731882,3.621953,4.198964,4.446327,4.596657,4.703188,4.784296,0.722340,0.727214,1.024408,1.204375,1.407757,1.697156,1.911695,2.191446,2.360888,2.488986,2.642796,2.721587
743.7742,19.6408,0.93298,0.202021,4.38917,1.439224,0.544662,8.802826,38.229583,0.398340,6.201588,0.778291,3.582783,4.087606,4.277126,4.378844,4.448808,4.503519,0.754391,0.759502,1.065744,1.251863,1.458619,1.744325,1.951128,2.211301,2.367175,2.485942,2.622185,2.688207
910.3385,44.155,2.261206,0.59221,4.972181,1.924997,0.544662,8.836979,38.722007,0.397559,5.369078,0.776085,3.718947,4.245249,4.448369,4.566474,4.649240,4.712136,0.746251,0.751105,1.056325,1.243540,1.453797,1.748737,1.965389,2.242884,2.407721,2.531535,2.671787,2.738941
1157.5591,61.0709,1.646976,0.305068,5.3535,2.105951,0.544662,8.840585,36.721316,0.405273,6.147625,0.727222,3.530906,4.016006,4.217748,4.347569,4.445303,4.523547,0.724483,0.729644,1.027346,1.206472,1.408900,1.692475,1.902903,2.174971,2.336694,2.457704,2.595132,2.661974
753.5755,24.4594,2.851507,0.637369,4.541001,1.716759,0.544662,8.890870,40.524827,0.392578,5.596988,0.802406,3.769724,4.342102,4.581796,4.721944,4.818975,4.891970,0.763685,0.768313,1.076735,1.269968,1.481491,1.780884,1.997117,2.269718,2.432529,2.556564,2.701537,2.775125
1654.4853,97.3863,2.438484,0.577493,6.095345,2.44305,0.544662,8.924606,36.834894,0.407422,5.231216,0.711587,3.525330,3.997512,4.197181,4.323183,4.414016,4.483627,0.716811,0.721697,1.014761,1.195519,1.394857,1.681154,1.894687,2.171710,2.334625,2.454940,2.591047,2.657246
768.5479,35.3066,2.610451,0.619689,4.658579,1.926534,0.544662,8.832352,39.673191,0.393750,5.388058,0.787974,3.675004,4.195684,4.411761,4.541103,4.632075,4.701022,0.753829,0.758647,1.066179,1.254252,1.465342,1.760301,1.973843,2.242376,2.401034,2.520937,2.658180,2.726753
1020.302,98.1573,1.288288,0.332326,5.497232,2.362835,0.544662,8.739687,37.105796,0.400586,5.418950,0.762898,3.539664,3.934456,4.085198,4.182010,4.254873,4.313018,0.734993,0.740261,1.045943,1.226001,1.435986,1.724023,1.935561,2.201905,2.354231,2.465743,2.582605,2.635287
811.8539,14.859,0.953787,0.256526,4.459548,1.278017,0.544662,8.816756,37.369179,0.402051,5.676740,0.740469,3.476773,4.011912,4.219526,4.325995,4.394896,4.446617,0.737634,0.742781,1.041864,1.222990,1.423304,1.702114,1.905144,2.163839,2.321377,2.442956,2.588565,2.661913
609.1125,17.157,1.997917,0.643996,4.156296,1.483411,0.544662,8.810876,41.046978,0.387793,5.213738,0.844432,3.788602,4.307047,4.505061,4.610593,4.679918,4.730949,0.782636,0.787472,1.105538,1.300539,1.520335,1.820150,2.033701,2.296453,2.451490,2.568486,2.700226,2.764337
1566.4642,131.964,2.471347,0.459239,6.279018,2.67798,0.544662,8.806313,36.446026,0.405273,5.747134,0.717359,3.488024,3.968690,4.195819,4.347416,4.459876,4.547855,0.712076,0.717202,1.013416,1.189304,1.392289,1.677236,1.889272,2.162428,2.321852,2.439959,2.576164,2.646891
719.2484,31.6326,1.941082,0.510086,4.488561,1.831706,0.544662,8.824754,39.561215,0.393945,5.360287,0.800635,3.652671,4.138072,4.332160,4.447301,4.529124,4.592096,0.763129,0.768027,1.077768,1.267845,1.480376,1.772668,1.983122,2.244957,2.399037,2.515051,2.644773,2.708010
947.5434,29.1644,2.335175,0.584543,4.863254,1.804636,0.544662,8.847576,37.681863,0.401855,5.167235,0.723305,3.471621,3.983173,4.193175,4.316892,4.403634,4.469563,0.724819,0.729659,1.023600,1.204363,1.403675,1.685526,1.892190,2.157337,2.316825,2.438088,2.580746,2.652076
918.1315,45.9416,2.309928,0.590395,4.98781,1.973568,0.544662,8.844040,38.669082,0.397949,5.347091,0.770410,3.682273,4.199018,4.402359,4.522458,4.607111,4.671553,0.744642,0.749496,1.053665,1.240332,1.449366,1.742872,1.958191,2.233375,2.396558,2.519141,2.658068,2.725063
1182.5391,134.9756,1.996972,0.593239,5.96517,2.595693,0.544662,8.842056,38.365798,0.399121,5.004569,0.781310,3.630956,4.037330,4.198121,4.298815,4.371221,4.426574,0.746870,0.751821,1.059070,1.246157,1.458003,1.753128,1.968904,2.238496,2.391079,2.502381,2.618861,2.672463
812.4953,55.236,2.568705,0.603844,4.820762,2.234059,0.544662,8.888160,39.636402,0.395801,5.278369,0.779304,3.593410,4.068316,4.273446,4.401486,4.493050,4.562867,0.754475,0.759210,1.063764,1.253433,1.460988,1.752980,1.963389,2.225241,2.378143,2.492976,2.621795,2.686342
1006.1506,25.9998,1.459188,0.405202,4.870313,1.57477,0.544662,8.887122,37.187508,0.404980,5.412570,0.726083,3.539310,4.075981,4.277607,4.387403,4.462879,4.520903,0.730308,0.735266,1.030290,1.212802,1.411740,1.693384,1.901352,2.171379,2.336140,2.461796,2.609736,2.681318
1167.495,39.1472,1.832999,0.43371,5.203273,1.852844,0.544662,8.868025,36.545781,0.406836,5.484680,0.706486,3.493850,4.010891,4.215984,4.338236,4.426235,4.494819,0.716288,0.721380,1.014243,1.191565,1.389905,1.669722,1.878020,2.150391,2.315624,2.440404,2.586675,2.657940
888.5721,35.6649,2.296874,0.416557,4.837951,1.922306,0.544662,8.793576,37.722856,0.399902,6.016416,0.742479,3.543881,4.084358,4.326024,4.479606,4.592529,4.681165,0.730921,0.735879,1.034721,1.215929,1.420276,1.705073,1.914073,2.182031,2.343050,2.465622,2.611124,2.686924
1260.0194,134.7435,1.875642,0.440907,6.067876,2.588842,0.544662,8.788782,37.520889,0.400586,5.477282,0.769142,3.609877,4.037810,4.218968,4.337623,4.425708,4.494809,0.737333,0.742462,1.048846,1.231580,1.443379,1.735945,1.951392,2.223205,2.378093,2.491495,2.613187,2.671553
885.2136,41.118,2.316811,0.536489,4.859438,1.990857,0.544662,8.853691,38.526648,0.398828,5.415478,0.757567,3.578022,4.082145,4.293521,4.423045,4.515934,4.587390,0.741683,0.746582,1.048292,1.233136,1.438962,1.727099,1.937299,2.204077,2.362447,2.482140,2.619455,2.687886
686.1853,16.977,0.912345,0.222754,4.272348,1.310284,0.544662,8.780036,38.872105,0.395020,6.162839,0.808210,3.720701,4.277547,4.487340,4.594061,4.663456,4.715961,0.766822,0.771901,1.083958,1.273776,1.486271,1.778229,1.989423,2.255570,2.416085,2.538861,2.681615,2.751743
1300.3439,48.4352,2.027885,0.584564,5.477749,1.936939,0.544662,8.845330,36.455628,0.406445,5.101529,0.708550,3.556293,4.066628,4.255424,4.363209,4.438490,4.495718,0.712107,0.717141,1.010487,1.187642,1.388025,1.672077,1.885024,2.165494,2.334760,2.461031,2.606813,2.675133
755.0942,25.7791,1.16252,0.285742,4.4557,1.607299,0.544662,8.859274,38.981490,0.397363,5.834507,0.795877,3.653374,4.145128,4.329264,4.432647,4.505926,4.563605,0.765365,0.770268,1.078023,1.269982,1.478395,1.768692,1.978258,2.240532,2.396405,2.514199,2.645957,2.708505
597.2298,11.7108,2.31218,0.650482,4.08722,1.407855,0.544662,8.791519,40.907904,0.387695,5.206256,0.825800,3.679234,4.192077,4.404265,4.522695,4.601697,4.660019,0.772954,0.777691,1.090964,1.283589,1.499122,1.795247,2.005167,2.261960,2.413217,2.527976,2.660128,2.727507
1507.9624,109.6108,2.177829,0.469301,6.049619,2.51895,0.544662,8.863714,36.643555,0.406250,5.475029,0.718292,3.494834,3.953307,4.155313,4.287343,4.384807,4.460897,0.717896,0.722924,1.018273,1.197360,1.398905,1.683734,1.895470,2.168095,2.327270,2.444990,2.577449,2.642938
713.8983,33.6697,2.67793,0.598152,4.563671,1.95153,0.544662,8.765075,39.511929,0.392090,5.449154,0.787667,3.639421,4.158186,4.381204,4.517450,4.614123,4.687734,0.749379,0.754196,1.061461,1.247484,1.459137,1.753167,1.965549,2.231578,2.388325,2.506898,2.643726,2.713686
963.7378,76.6746,2.513951,0.594236,5.265247,2.339111,0.544662,8.835927,38.570748,0.398047,5.305453,0.764668,3.610524,4.089933,4.292892,4.419839,4.510892,4.580453,0.740710,0.745561,1.048755,1.234087,1.442149,1.734541,1.948319,2.218760,2.376486,2.494139,2.625913,2.690947
828.0342,22.18,1.600678,0.335581,4.573475,1.562585,0.544662,8.856460,38.255224,0.400000,5.997992,0.761748,3.589062,4.129813,4.351547,4.481051,4.573367,4.645674,0.747618,0.752513,1.053748,1.240817,1.445012,1.730611,1.938670,2.203521,2.363517,2.486007,2.629994,2.702505
702.8286,30.3547,2.209049,0.552879,4.454456,1.933641,0.544662,8.781225,39.152989,0.394043,5.189464,0.777545,3.515581,3.977938,4.174525,4.295090,4.381260,4.447348,0.749779,0.754708,1.060288,1.245217,1.454114,1.741190,1.947174,2.201969,2.351134,2.463625,2.590785,2.654739
2009.9545,116.8556,2.498345,0.53513,6.642489,2.535457,0.544662,8.750456,35.594551,0.406738,5.452954,0.706458,3.540302,4.027939,4.240977,4.378193,4.478164,4.555353,0.698551,0.703932,1.001090,1.171191,1.376640,1.663370,1.879907,2.164184,2.330983,2.452872,2.593393,2.663436
842.4236,35.4496,1.325967,0.326692,4.709519,1.786457,0.544662,8.835190,38.133942,0.399707,5.669192,0.769889,3.595166,4.074273,4.255165,4.361072,4.437818,4.498481,0.749590,0.754616,1.059037,1.245413,1.452050,1.739482,1.948970,2.214023,2.371241,2.489684,2.621906,2.684277
784.426,14.665,2.10107,0.656636,4.480821,1.393953,0.544662,8.827053,38.582078,0.397754,4.994550,0.750421,3.524093,4.059787,4.271533,4.383441,4.455835,4.508571,0.739193,0.743992,1.042756,1.227061,1.430225,1.714690,1.921054,2.182797,2.340804,2.462184,2.606720,2.679519
1202.3665,105.6976,2.09255,0.580141,5.740041,2.484775,0.544662,8.847023,37.612223,0.402148,5.008783,0.746451,3.532563,3.956710,4.128663,4.236421,4.314020,4.373461,0.731552,0.736544,1.037132,1.219394,1.425122,1.713511,1.925576,2.194117,2.348799,2.462819,2.586275,2.644368
