a,b,c,w,r1,r2,V0,dcj,pcj,vcj,edet,e1,e2,e3,e4,e5,e6,e7,t0.1,t0.15,t0.25,t0.35,t0.5,t0.75,t1,t1.5,t2,t2.5,t3.5,t4.5
1095.9397,46.632,2.050178,0.516286,5.224688,1.954136,0.544662,8.824495,37.089718,0.403320,5.348228,0.728915,3.571789,4.084657,4.285703,4.405250,4.490533,4.556230,0.723111,0.728153,1.025569,1.204946,1.408454,1.694065,1.906253,2.182175,2.347675,2.471929,2.615156,2.684149
1268.5589,77.8092,3.050357,0.617791,5.719151,2.376748,0.544662,8.781143,37.034233,0.402148,5.459131,0.717647,3.551581,4.080662,4.315745,4.464018,4.570120,4.650886,0.709519,0.714558,1.011041,1.185748,1.389338,1.677436,1.892087,2.171521,2.337622,2.461379,2.607677,2.682875
1577.5183,90.5799,2.101541,0.606097,6.05834,2.330459,0.544662,8.843620,36.517718,0.406152,4.998867,0.719929,3.557164,4.009015,4.181863,4.286684,4.361338,4.418219,0.714749,0.719798,1.016030,1.194249,1.397527,1.685204,1.900503,2.180405,2.344192,2.464367,2.597248,2.658445
882.3967,50.9225,2.088167,0.516071,4.946555,2.080157,0.544662,8.795452,38.086934,0.398633,5.318517,0.758580,3.564475,4.042368,4.237622,4.357684,4.444285,4.511178,0.737741,0.742773,1.045799,1.228009,1.435746,1.723412,1.933759,2.200451,2.357454,2.475311,2.608036,2.672792
884.1507,34.8007,2.426279,0.580313,4.858971,1.850246,0.544662,8.809576,38.356015,0.398047,5.413893,0.757343,3.631726,4.170330,4.388993,4.517990,4.608667,4.677688,0.736594,0.741495,1.043423,1.226671,1.433842,1.724109,1.937172,2.210578,2.374300,2.498247,2.642612,2.714281
832.2097,54.0964,3.011105,0.574805,4.957298,2.197974,0.544662,8.772543,38.986079,0.394434,5.758784,0.774267,3.673441,4.223072,4.470674,4.627301,4.740057,4.826459,0.739600,0.744460,1.049991,1.233543,1.444346,1.739693,1.955433,2.229712,2.391907,2.514329,2.657899,2.733029
764.2097,14.72,2.144251,0.638296,4.442371,1.384051,0.544662,8.848183,39.124285,0.396387,5.151439,0.767679,3.599259,4.152686,4.373360,4.490734,4.566978,4.622686,0.748695,0.753457,1.055390,1.242927,1.448706,1.736852,1.945509,2.209732,2.369330,2.491997,2.637882,2.711525
1028.7037,64.8105,1.840424,0.435967,5.248266,2.146417,0.544662,8.833537,37.716581,0.401270,5.540156,0.757125,3.612833,4.089630,4.280728,4.399906,4.487321,4.555786,0.738081,0.743065,1.045201,1.229535,1.436776,1.726200,1.939450,2.212022,2.372270,2.491765,2.624588,2.687992
743.4368,31.3528,2.475683,0.606775,4.54526,1.907621,0.544662,8.852603,39.793833,0.394043,5.283952,0.787079,3.617405,4.113561,4.321354,4.446401,4.534598,4.601584,0.756704,0.761406,1.066820,1.257003,1.465774,1.758216,1.968536,2.230489,2.384731,2.501326,2.633911,2.700259
1059.4334,60.3959,2.345321,0.569331,5.24526,2.239921,0.544662,8.818108,37.125587,0.403027,5.102631,0.715341,3.421011,3.884496,4.081700,4.204962,4.293628,4.361619,0.717229,0.722249,1.016635,1.193512,1.393518,1.674350,1.880978,2.145241,2.301302,2.418398,2.552413,2.618855
836.8675,40.7758,2.43499,0.588062,4.789743,1.994737,0.544662,8.855369,39.106240,0.396777,5.333750,0.772470,3.620795,4.123640,4.331885,4.457918,4.547358,4.615564,0.748011,0.752805,1.056389,1.243857,1.451429,1.742867,1.954559,2.221646,2.379461,2.498534,2.634077,2.701217
1249.0766,86.862,2.271507,0.532669,5.685592,2.394388,0.544662,8.796974,36.706362,0.404004,5.250646,0.719242,3.479232,3.941932,4.139374,4.265004,4.356327,4.426836,0.714511,0.719660,1.016313,1.191896,1.394832,1.678561,1.889045,2.160030,2.319009,2.437110,2.570899,2.636682
982.5673,120.1969,2.93203,0.575004,5.526368,2.708537,0.544662,8.851212,38.749012,0.397949,5.532730,0.759376,3.559509,4.048921,4.280733,4.431883,4.541474,4.625557,0.738551,0.743383,1.045525,1.229959,1.436394,1.727696,1.939635,2.205703,2.360185,2.475868,2.608636,2.678671
1346.7537,57.2745,2.957968,0.601213,5.556705,2.238793,0.544662,8.886491,36.694958,0.406836,5.361643,0.686983,3.434892,3.960429,4.195381,4.343182,4.449070,4.529861,0.703829,0.708738,0.996944,1.172101,1.366799,1.646992,1.855609,2.128378,2.293020,2.416681,2.565027,2.641616
