key, time_index, eff_jet_mass_percent, jet_mass, HE_mass, avg_width_1, std_width_1, max_width_1, KE_2D, sqrt_KE_2D
lsc240420_id00099_pvi_idx00100.npz, 100, 0.007602, 357.797540, 775.456557, 0.285464, 0.749942, 3.358396, 2722.456579, 1725.962113
lsc240420_id00092_pvi_idx00100.npz, 100, 0.009798, 158.339849, 679.700217, 0.097744, 0.345638, 1.954887, 1527.504122, 920.192337
lsc240420_id00033_pvi_idx00100.npz, 100, 0.000000, 209.502819, 644.804017, 0.000752, 0.009347, 0.150376, 22.091841, 17.484517
lsc240420_id00018_pvi_idx00100.npz, 100, 0.992716, 256.864174, 755.100913, 1.381704, 2.224291, 7.418546, 1801.684782, 3176.218815
lsc240420_id00094_pvi_idx00100.npz, 100, 0.479949, 211.718557, 688.629257, 1.438095, 2.283082, 7.568922, 5829.740899, 4454.472147
lsc240420_id00034_pvi_idx00100.npz, 100, 0.951425, 273.771328, 714.524306, 1.308271, 2.146095, 7.218045, 1887.506646, 3432.117158
